step,objective,ctrl,time,obs,dyn,bc,reg,grad_norm,step_size,runtime_sec,accepted
0,5675.913703275601,5664.070459893182,0.315,0.46215463309348914,11.047963749325891,1.2280829293337733e-26,0.018125000000000023,14586.244653891115,0.005,0.015616179909557104,True
1,38.465254887054364,0.020233392829243767,5.5766513519897005,2.000478216717101e-06,1.1492786939250494,1.1911394428216174e-28,31.719089447832154,2.9294507186678653,0.005,0.01392816286534071,True
2,38.42236606424296,0.02020547405634134,5.57668137282562,2.1077511168180336e-06,1.1474617067987551,2.831414708430164e-28,31.678015402811123,2.9267768742914386,0.005,0.011492556892335415,True
3,38.3795554880617,0.02017766281212601,5.576711204757815,2.2263706192104778e-06,1.1456501212055843,2.0729354877559968e-28,31.637014272915554,2.9241069496042718,0.005,0.010992959141731262,True
4,38.336822972631225,0.0201499586122141,5.576740848272552,2.357801595725605e-06,1.143843919407182,1.1804435651681934e-28,31.596085888537683,2.9214409235020167,0.005,0.010802980046719313,True
5,38.29416833301357,0.020122360976292723,5.576770303845468,2.5037009257738884e-06,1.1420430837892217,1.135764678416366e-28,31.555230080701666,2.918778773271251,0.005,0.010849611833691597,True
6,38.251591385257804,0.020094869428258486,5.576799571940474,2.665942183893175e-06,1.140247596866047,6.66504320056665e-29,31.51444668108084,2.91612047438359,0.005,0.010715240146964788,True
7,38.209091946451665,0.02006748349635859,5.576828653008517,2.8466433950601647e-06,1.1384574412860695,5.558974546515671e-29,31.47373552201732,2.913466000265258,0.005,0.010804432909935713,True
8,38.16666983477982,0.020040202713375463,5.576857547486188,3.0481982181824094e-06,1.1366725998377987,5.253605951453038e-30,31.433096436544236,2.9108153220393613,0.005,0.010879955254495144,True
9,38.12432486958977,0.020013026616813426,5.576886255794152,3.27331095578001e-06,1.1348930554567558,6.70481515034372e-29,31.392529258411095,2.9081684082380623,0.005,0.010741851292550564,True
10,38.08205687146576,0.01998595474912742,5.576914778335401,3.5250358294431494e-06,1.133118791233207,1.3813682033318716e-28,31.352033822112197,2.9055252244813805,0.005,0.011069744359701872,True
11,38.0398656623122,0.019958986657965534,5.576943115493266,3.8068210047540047e-06,1.1313497904209304,2.167211151081961e-28,31.31160996291904,2.902885733119335,0.005,0.0107040423899889,True
12,37.997751065447204,0.019932121896464736,5.576971267629212,4.122557897348931e-06,1.129586036446996,3.5042395727983565e-28,31.271257516916638,nan,0.0,0.0,True
