trial,scheme,success,lower_order_max,higher_order_max,elapsed_sec,error
0,A,true,1.751354616885692e-11,5.929639002033582e-10,0.0018628688994795084,
0,B,true,1.5473511361108194e-11,78976.74263099936,0.005312660010531545,
0,C,true,3.895971267648185,14.923774303956009,0.004961434984579682,
1,A,true,2.383870878475136e-12,4.3564796214923263e-10,0.0017881039530038834,
1,B,true,2.9984903449076228e-12,22795.283025041947,0.005399883957579732,
1,C,true,8.536107378133519,289.2703286637976,0.004827077966183424,
2,A,true,8.701317444348433e-12,6.34202024230035e-10,0.0016982669476419687,
2,B,true,2.436606472144831e-12,79940.03557185984,0.005371323088183999,
2,C,true,13.999226981238026,388.77876308414386,0.0049636762123554945,
3,A,true,1.3426593170606793e-11,8.59108695294708e-09,0.0017030229791998863,
3,B,true,1.06403774680075e-11,533537.7304336547,0.005272674141451716,
3,C,true,22.73281891179571,4362.224103662316,0.0048396410420536995,
4,A,true,2.1151080886738782e-11,1.7639649740885943e-09,0.0016807741485536098,
4,B,true,7.115363853671397e-12,82090.49580941563,0.0052029278595000505,
4,C,true,46.31955201844545,526.713288150271,0.004772095009684563,
5,A,true,1.1341816374965674e-11,4.3219472445343854e-10,0.0016994839534163475,
5,B,true,5.925399060302539e-12,113632.29944005427,0.005297895986586809,
5,C,true,6.1972658713567945,116.32351316003329,0.004879260901361704,
6,A,true,1.3744561044859438e-11,6.110667527536862e-10,0.0016917409375309944,
6,B,true,1.7337686841756295e-11,67912.76359622963,0.005320027936249971,
6,C,true,23.61428499000164,289.60748873366845,0.004856996005401015,
7,A,true,2.672528864877677e-12,8.873257684172131e-11,0.0017015039920806885,
7,B,true,2.0836665726164938e-12,67746.7330233802,0.005293871043249965,
7,C,true,20.77300702327294,210.0703202141441,0.004995977971702814,
8,A,true,1.1193712623480678e-11,1.1955307854805142e-09,0.0016753468662500381,
8,B,true,1.9528045847039266e-11,110466.29244773717,0.0052305718418210745,
8,C,true,7.3205532425589634,778.4016137420601,0.00474441098049283,
9,A,true,6.262546037305583e-12,1.074653255273006e-09,0.0016241350676864386,
9,B,true,3.842481888227667e-12,75285.76981763203,0.0051366910338401794,
9,C,true,2.934659865532529,21.967647788896983,0.0047487118281424046,
10,A,true,2.1259438653942198e-11,4.612957127392292e-09,0.0016566561535000801,
10,B,true,3.058175934711471e-11,951696.4364055095,0.005255233962088823,
10,C,true,139.0278245762966,17203.372465118,0.00474232598207891,
11,A,true,1.015576511775862e-11,4.96243046654854e-10,0.0015975511632859707,
11,B,true,1.0087541912895404e-11,63276.931775461075,0.005164857022464275,
11,C,true,7.079852292285949,75.79086362245121,0.004805017029866576,
12,A,true,2.4873436643702007e-12,7.52180540075642e-11,0.0016688390169292688,
12,B,true,1.6060486274227515e-12,37504.19022830906,0.005371545907109976,
12,C,true,7.766819624210356,109.87888421489049,0.00517091597430408,
13,A,true,1.999822529796802e-11,1.999694632104365e-09,0.0017072760965675116,
13,B,true,4.510214424158221e-11,174334.44108446754,0.005308385938405991,
13,C,true,16.57779453872484,226.78552480193434,0.004830801161006093,
14,A,true,8.139711127341798e-12,2.297468881806708e-10,0.0017025391571223736,
14,B,true,5.99187366390197e-12,64286.870216996824,0.0053388141095638275,
14,C,true,6.048242129094497,23.677074959100494,0.004832069156691432,
15,A,true,3.0622171465211068e-12,5.834408511873335e-10,0.0016913660801947117,
15,B,true,6.680794806257495e-12,75640.87072738807,0.005313052097335458,
15,C,true,26.763153608391455,505.60543132256794,0.004809889942407608,
16,A,true,2.3741009158584347e-11,9.420091373613104e-10,0.001679243054240942,
16,B,true,2.5114355040045666e-11,729356.7964545516,0.0052832369692623615,
16,C,true,13.592635964327826,1218.61539371855,0.004827101016417146,
17,A,true,1.1318945780658396e-11,3.155378180963453e-10,0.0017043130937963724,
17,B,true,1.2003287253037342e-11,188109.15639535344,0.00524262897670269,
17,C,true,16.431885231816807,69.7551484087769,0.004790360806509852,
18,A,true,1.2723155862204294e-11,4.5793058234266937e-10,0.0016788509674370289,
18,B,true,1.6413093106848464e-11,106794.81874666079,0.005178989144042134,
18,C,true,10.721838582681274,83.43939277284002,0.00475102593190968,
19,A,true,1.3642420526593924e-11,1.004451632979908e-09,0.0016268868930637836,
19,B,true,2.5993429630943865e-11,338172.1564382777,0.0050432870630174875,
19,C,true,13.595664716692689,366.1618427886126,0.0046338969841599464,
20,A,true,1.3958612044007168e-11,6.200480129336938e-10,0.0016357291024178267,
20,B,true,1.0955569784698582e-11,436007.50810086005,0.005180398002266884,
20,C,true,31.071518241454683,297.726102170383,0.004812555853277445,
21,A,true,2.8407498575688805e-11,6.106120054027997e-10,0.0016820230521261692,
21,B,true,2.3000268356554443e-11,763639.7248949362,0.005330255953595042,
21,C,true,14.17223994794919,1442.1519640049687,0.004803210962563753,
22,A,true,1.6566303884246736e-11,1.1011707101715729e-09,0.0016610519960522652,
22,B,true,7.09254877051535e-12,249460.4043989841,0.005232298979535699,
22,C,true,12.953723603784322,108.5749593460738,0.004738203948363662,
23,A,true,1.9834578424138272e-11,3.176410245941952e-10,0.001665184972807765,
23,B,true,1.1382894626876805e-11,6744.303213544518,0.005243288120254874,
23,C,true,2.2230398007163594,20.810308630957685,0.004748047096654773,
