trial,scheme,outside_band_q_ratio,outside_band_T_ratio,q_bandwidth,T_bandwidth
0,A,0.8125,0.8214285714285714,7,7
0,B,0.22916666666666666,0.19642857142857142,3,2
0,C,0.0,0.0,2,1
1,A,0.8125,0.8214285714285714,7,7
1,B,0.22916666666666666,0.19642857142857142,3,2
1,C,0.0,0.0,2,1
2,A,0.8125,0.8214285714285714,7,7
2,B,0.22916666666666666,0.19642857142857142,3,2
2,C,0.0,0.0,2,1
3,A,0.8125,0.8214285714285714,7,7
3,B,0.22916666666666666,0.19642857142857142,3,2
3,C,0.0,0.0,2,1
4,A,0.8125,0.8214285714285714,7,7
4,B,0.22916666666666666,0.19642857142857142,3,2
4,C,0.0,0.0,2,1
5,A,0.8125,0.8214285714285714,7,7
5,B,0.22916666666666666,0.19642857142857142,3,2
5,C,0.0,0.0,2,1
6,A,0.8125,0.8214285714285714,7,7
6,B,0.22916666666666666,0.19642857142857142,3,2
6,C,0.0,0.0,2,1
7,A,0.8125,0.8214285714285714,7,7
7,B,0.22916666666666666,0.19642857142857142,3,2
7,C,0.0,0.0,2,1
8,A,0.8125,0.8214285714285714,7,7
8,B,0.22916666666666666,0.19642857142857142,3,2
8,C,0.0,0.0,2,1
9,A,0.8125,0.8214285714285714,7,7
9,B,0.22916666666666666,0.19642857142857142,3,2
9,C,0.0,0.0,2,1
10,A,0.8125,0.8214285714285714,7,7
10,B,0.22916666666666666,0.19642857142857142,3,2
10,C,0.0,0.0,2,1
11,A,0.8125,0.8214285714285714,7,7
11,B,0.22916666666666666,0.19642857142857142,3,2
11,C,0.0,0.0,2,1
