kind,scheme,k,global_l2,relative_l2,matching_l2,abs_cost_gap,rel_cost_gap,max_segmentwise_l2
ideal,,2,4.451376259535045,0.12122747736805227,,-8798.326259914807,-0.22027768408797632,2.3676431287679605
ideal,,4,1.0523417842030462,0.028659167949387356,,-1767.5558151847945,-0.044253087458126616,0.6823981822678975
ideal,,6,0.1795370822207616,0.004889460315789368,,-182.0066086733932,-0.004556775125507784,0.1795370822207616
ideal,,8,2.1685335887697797e-13,5.905720865346678e-15,,1.0186340659856796e-10,2.4424906541753444e-15,1.1435352395185306e-13
actual,A,2,7.399694647173564e-12,2.0152111685666155e-13,4.45137625953524,2.1391315385699272e-09,5.3512749786932545e-14,6.7337160882531155e-12
actual,A,4,7.399694647173564e-12,2.0152111685666155e-13,1.0523417842037677,2.1391315385699272e-09,5.3512749786932545e-14,6.7337160882531155e-12
actual,A,6,7.399694647173564e-12,2.0152111685666155e-13,0.1795370822200237,2.1391315385699272e-09,5.3512749786932545e-14,6.7337160882531155e-12
actual,A,8,7.399694647173564e-12,2.0152111685666155e-13,7.454979240435394e-12,2.1391315385699272e-09,5.3512749786932545e-14,6.7337160882531155e-12
actual,B,2,483.60411835744543,13.170332925169912,483.8160470148976,1160258.3596400425,29.04859593234698,311.26979019449533
actual,B,4,430.00585684477704,11.71065356857186,430.03602625793326,687316.6215762501,17.20787672148161,368.2194650828037
actual,B,6,272.1896463864596,7.412733112922534,272.18909624754707,256269.58207216274,6.416046458544967,245.4845744984579
actual,B,8,141.68466323856103,3.858598623147359,141.68466323856106,83412.56189206656,2.088343329701361,112.23443442263256
actual,C,2,23.156497072036743,0.630637259366819,20.285644021422744,-30649.92610309357,-0.7673612616773362,18.558493016717637
actual,C,4,13.44620934584934,0.366190127304652,12.784335052304618,-21820.394210277438,-0.5463023034762002,10.2940480965902
actual,C,6,7.1926410047026375,0.1958822785978533,7.15264277847688,-11861.915504635937,-0.2969786751501715,5.5140490732203835
actual,C,8,3.4693108847661556,0.09448219657119178,3.4693108847660983,-5668.970329423471,-0.14193013744195315,2.655073200478311
